stall,item,description,price_inr,vegetarian,total_calories_kcal,protein_g,carbs_g,fat_g,health_score_10,meal_type
Punjabi Bites,Aloo Paratha (Premium),"Wheat flatbread stuffed with spiced potato, served with butter, curd and pickle",65,Yes,520,13,68,21,6,Main Meal
Punjabi Bites,Paneer Onion Paratha,"Wheat flatbread stuffed with paneer and onion, served with sweet curd and pickle",85,Yes,560,22,62,25,6.5,Main Meal
Punjabi Bites,Mix Veg Paratha,"Wheat flatbread stuffed with potato, carrot, peas and cauliflower, served with curd",75,Yes,450,12,65,16,7,Main Meal
Punjabi Bites,Amritsari Kulcha with Chole,Stuffed tandoori bread served with spicy chickpea curry and pickled onions,110,Yes,650,20,88,24,5.5,Main Meal
Punjabi Bites,Rajma Chawal Combo,Kidney bean curry served over basmati rice with raw onion,90,Yes,560,20,88,12,7.5,Main Meal
Punjabi Bites,Chole Bhature (Signature),Two deep-fried leavened breads served with spiced chickpeas,110,Yes,720,19,92,30,4.5,Main Meal
Punjabi Bites,Kadhi Chawal Combo,Yogurt and gram-flour curry with fried pakodas served over jeera rice,90,Yes,610,18,82,22,5.5,Main Meal
Punjabi Bites,Executive Punjabi Thali,"Dal makhani, paneer butter masala, rice/pulao, butter rotis, salad and gulab jamun",160,Yes,950,31,112,40,4.5,Main Meal
Punjabi Bites,Single Egg Kathi Roll,"Laccha paratha with egg, onions, capsicum and chaat masala",70,No,430,16,45,20,6.5,Main Meal
Punjabi Bites,Double Egg Kathi Roll,"Laccha paratha with two eggs, onions, capsicum and chaat masala",90,No,510,23,46,25,7,Main Meal
Punjabi Bites,Paneer Tikka Roll,Grilled paneer and vegetables wrapped in a mint-chutney roll,100,Yes,480,24,48,22,7,Main Meal
Punjabi Bites,Samosa Chaat / Aloo Tikki Chaat,"Samosas or potato patties with chole, yogurt, chutneys and sev",70,Yes,500,13,62,23,5,Main Meal
e11even,Tatte idly ( 2 pieces),Steamed rice-lentil cakes served with sambar and chutneys,45,Yes,300,10,53,6,8.5,Breakfast
e11even,Medu Vada (2 pcs) with Sambar,Crispy lentil fritters served with sambar,50,Yes,390,12,48,17,6.5,Breakfast
e11even,Masala Dosa,Crispy fermented rice-lentil crepe filled with spiced potato,70,Yes,480,10,72,16,7,Breakfast
e11even,Plain Dosa,Crispy fermented rice-lentil crepe served with accompaniments,55,Yes,350,8,58,9,7.5,Breakfast
e11even,Mysore Masala Dosa,Masala dosa spread with spicy garlic-red chilli chutney,80,Yes,540,11,76,20,6.5,Breakfast
e11even,Vegetable Uttapam,"Thick fermented pancake topped with onion, tomato and vegetables",75,Yes,380,10,60,10,8,Breakfast
e11even,Sambar Rice,Rice mixed with lentil-vegetable sambar,70,Yes,410,12,72,8,8,Main Meal
e11even,Lemon Rice,"Tempered rice with peanuts, chana dal and curry leaves",65,Yes,420,9,70,12,7,Main Meal
e11even,Curd Rice,Rice mixed with seasoned yogurt and curry leaves,60,Yes,360,10,58,9,8,Side
e11even,Vegetable Biryani,Spiced rice cooked with mixed vegetables,90,Yes,500,11,78,15,6.5,Main Meal
e11even,South Indian Meals,"Rice with sambar, rasam, vegetables, kootu, curd, papad and pickle",120,Yes,700,20,105,19,7,Main Meal
